id,author,author_id,text,timestamp,like_count,is_favorited,is_pinned,parent,video_id
UgyNV9V7aPy8k1aUwup4AaABAg,@AdhiPramono-y7e,UCXxvddPQ1T4PxlJj1RhBaVA,Anak buahnya pentolan penegak hukum ternyata maling kakappppp...,1783900800,0,False,False,root,
Ugyr1jLJUbXcUDQY1gJ4AaABAg,@RaskaRaska-x4k,UCNFkv0dqxGMXl5rtTqq3Tjg,Betul pak kebanyakan rakyat ke jebak PINJOL DAN RENTENIR,1783900800,1,False,False,root,
UgzH9kO6APi4cNyMoqF4AaABAg,@enigma16969,UC1wUV_AYeSVSM_L8BI38pOQ,"GAK JALAN JALAN, PIDATO. GAK PIDATO, JALAN JALAN. GITU AJA TERUS!",1783900800,1,False,False,root,
Ugy20cfIUADCENIm4Ud4AaABAg,@abdulrohimchannel8563,UCdCEo0vhf9zV-Rs0eVXqV2Q,KAMI PETANI BERSAMAMU PAK PRESIDEN SALAM SEMANGAT SALAM DUA PEREODE,1783900800,1,False,False,root,
Ugy92lUaImfKzBKMZaZ4AaABAg,@RaskaRaska-x4k,UCNFkv0dqxGMXl5rtTqq3Tjg,Sehat sehat pak sampai negara kita bisa baju 😎🇮🇩❤️,1783900800,2,False,False,root,
Ugz3jTgWkXrgUCPhEip4AaABAg,@aditorpedo,UCVG8tj643tptzf1ftiIxFpw,"Saya kira mau menyampaikan hukuman mati dan perampasan aset, tapi itu cuma mimpi indahku😢 tetap saja pidatonya gak berguna, selalu menyampaikan kalimat yang diulang ulang sangat membosankan.",1783900800,0,False,False,root,
UgxpmV5MY5lwPOIH-MR4AaABAg,@PersadakitoKito-sc9fz,UCxzbkNCwfdBVQoAEzjeECng,SEMOGA KOPERASI MERAH PUTIH JUGA DI AUDIT HARUS TRANPARAN DUGAAN ADA POTONGAN KEMANA SEMUA ANGGARAN ITU⁉️🤪🤪,1783900800,0,False,False,root,
UgwgLXrr5FqzifnvaVt4AaABAg,@aldoidzam5812,UCoY6hUDKKU4JSeM-P6YTLaA,"Lieur aing ngadenge na,geus tsh turun atu lah....",1783900800,0,False,False,root,
UgzAH0H8QFKueH8iD694AaABAg,@A_Traders,UC6f4tT44AmDQiEQK-ikZOuw,22:31 . Ga etis bgt 😔,1783900800,0,False,False,root,
Ugy2oi4UuJSJ3QTGhUp4AaABAg,@aditorpedo,UCVG8tj643tptzf1ftiIxFpw,KDM 2029,1783900800,0,False,False,root,
Ugw68q20ldoXr1sYTft4AaABAg,@dikiyoga2650,UCwmawGCAKPrSAYbEQoExyIw,Presiden paling Luar biasa..,1783900800,0,False,False,root,
Ugw68q20ldoXr1sYTft4AaABAg.AZA0Gt6UvNkAZAC1JygDLW,@asnah0153,UClvMsPy6gU_WKM5MmUnEQyA,10+6=17,1783900800,0,False,False,Ugw68q20ldoXr1sYTft4AaABAg,
UgwRdIpsVtlkwGDwKbd4AaABAg,@rudysatryo,UC1RzRH-iCsHLFB7_UBe73EA,Halu dipiara makmur ndasmu,1783900800,0,False,False,root,
UgyWc-FyufoWAfoMndB4AaABAg,@putragaluh.pakuan,UCNOLSnV59C-culHDn0nZjVA,💪💪💪💪💪💪💪💪💪💪💪,1783900800,0,False,False,root,
